Time_s,Irradiance_Wm2,Temperature_C,Vbus_V,IBoost_A,Ipv_A,Vpv_V,Ppv_W
8.5395,830.0,45.75,86.03141679435191,8.603141679435188,30.703520411514443,27.27702169633792,837.4473520539739
8.5795,830.0,45.75,85.87029625198137,8.587029625198136,30.558706056438393,27.273405677725712,833.3876233942485
8.619499999999999,830.0,45.75,85.7034959103531,8.570349591035306,30.487311947259467,27.264569680872377,831.1530949255291
8.6595,830.0,45.75,85.66352161584919,8.566352161584915,30.476295413518518,27.27327220902737,831.1139818691261
8.6995,830.0,45.75,85.6552839638096,8.565528396380959,30.489340121400186,27.267093802679238,831.303195979504
8.7395,830.0,45.75,85.66487506165123,8.566487506165121,30.480705526773612,27.272292511930665,831.215786508915
8.7795,830.0,45.75,85.66539542145577,8.566539542145575,30.473696173048495,27.274695631426123,831.0822693013815
8.8195,830.0,45.75,85.64371793291097,8.564371793291096,30.500055621130876,27.248540551867478,830.994069479797
8.8595,830.0,45.75,85.66410615010868,8.566410615010865,30.462777275086115,27.285951734479397,831.1336212946651
8.8995,830.0,45.75,85.65479656904475,8.565479656904472,30.48171046242436,27.266229901050565,831.0378607646431
8.939499999999999,830.0,45.75,85.64801137591857,8.564801137591854,30.49633541913754,27.258091302817878,831.2083436564657
8.9795,830.0,45.75,85.65067124392306,8.565067124392304,30.485147263563334,27.264029346438917,831.0681793800147
9.019499999999999,820.0,45.5,85.67355463286371,8.56735546328637,30.39302122732383,27.30947428554016,829.9279315458119
9.0595,820.0,45.5,85.52658320471915,8.552658320471911,30.275104576898364,27.284118946252136,825.9446289657706
9.0995,820.0,45.5,85.35596257087843,8.535596257087843,30.139954220115023,27.29203822753117,822.5156329692336
9.1395,820.0,45.5,85.26479772422208,8.526479772422206,30.10776627601581,27.301821664078723,821.92462431532
9.179499999999999,820.0,45.5,85.26357170710676,8.526357170710673,30.101575429614815,27.31067297819312,822.0350766321033
9.2195,820.0,45.5,85.24614544373524,8.524614544373524,30.11989165756636,27.28773415458579,821.8194390991263
9.2595,820.0,45.5,85.24059121609511,8.524059121609508,30.132330035542008,27.280490884141727,821.9566852750431
9.2995,820.0,45.5,85.24745571169349,8.524745571169346,30.1079792868762,27.298472952549968,821.817359887049
9.339500000000001,820.0,45.5,85.24264183511022,8.524264183511018,30.116455917337298,27.2924633415538,821.8744296454522
9.379499999999998,820.0,45.5,85.2408311174768,8.524083111747677,30.115464778556685,27.291273278424057,821.8033064602532
9.4195,820.0,45.5,85.25258578009023,8.525258578009021,30.113785226068007,27.29874781356575,822.0058067607955
9.4595,820.0,45.5,85.2480829122674,8.524808291226737,30.11594406332755,27.296596478850198,821.9993719990255
