Time_s,Irradiance_Wm2,Temperature_C,Vbus_V,IBoost_A,Vpv_V,Ipv_A,Ppv_W
0.0010180904522613065,800.3237416999048,29.993981666690395,0.32656893912196694,0.032656893912196575,33.45011817991105,8.356143775785153,256.4130712924038
0.00301,800.1301619018599,29.993563339570027,2.224067061569085,0.22240670615690816,32.76909180566417,19.156404602937947,625.6720737476337
0.005,799.318772708486,29.972522224498345,5.746317627107323,0.5746317627107319,26.576928488201787,29.14992520773314,766.92988568446
0.008160251256281408,799.8506664714171,30.014933641069174,12.533753623419631,1.253375362341964,9.238151711336146,31.54579405895185,290.408535236873
0.01062,802.9736581553169,30.022335888934645,18.071777676310457,1.8071777676310465,11.675053123160813,31.574132548481874,367.9422234095174
0.01261,799.3557426692028,30.017062980245296,22.65475255940301,2.2654752559403017,6.467164995176773,31.63124384391953,204.43174877091832
0.014600000000000002,803.4293220645797,30.004357603277896,27.448655660755865,2.7448655660755863,16.612827101901715,31.406838893883712,521.7096087589047
0.01659,803.6123959783246,30.002944531651508,32.35125754136153,3.2351257541361527,12.282977860345088,31.578248246244605,387.83280998833095
0.01858,801.2013023762362,30.02539923146975,37.42665048358982,3.742665048358982,19.251320593465675,31.218632469564493,600.7888446310033
0.020569999999999998,799.3920274938204,30.03635466019252,42.518556511338595,4.2518556511338605,19.55330758878809,31.136956161836594,608.8302272505713
0.02256,801.5779124975609,29.99510531572551,47.38196454827206,4.738196454827207,23.11123340440663,31.060299894168658,717.7337997167493
0.02455,798.5950297596474,30.035962635997482,52.569396086628615,5.2569396086628615,26.180981631447352,30.640350931550323,802.0771316435737
0.02654,800.2899289911724,30.01949846075104,57.47577617058585,5.7475776170585835,28.07156565948362,30.172767451893932,846.9400442367406
0.028529999999999996,796.0468071653858,30.0155882454844,61.961169982877365,6.196116998287735,28.945490351720807,29.482241085059265,853.3032648197534
0.03052,800.1914206381246,29.999806077414547,65.95224045739202,6.595224045739203,30.036870177146454,28.442662936250258,854.2301037344636
0.032510000000000004,799.7112991752667,30.022941062976,69.40583629355912,6.940583629355914,30.750595691173807,27.145060709001648,834.6428598850233
0.0345,803.5060532342764,30.016535517075376,72.14394998372235,7.214394998372237,31.304009161025753,25.890376521673243,810.449583986458
0.03649,801.7701538950479,29.989977913719468,73.97454771249133,7.397454771249138,31.42419580817145,25.47997520674921,800.6752046702848
0.03848,802.4535133302054,30.00743969242534,75.55060844045732,7.555060844045741,31.58545132933067,24.97366510128019,788.7848589402273
0.04047,799.9157791528972,30.022061149259528,76.72932040615582,7.672932040615588,31.638417614711614,24.69705879039902,781.359865464553
0.042460000000000005,800.1013813783791,29.99642570077136,77.38980396682175,7.738980396682182,31.449410686354405,25.33948938167635,796.8998258115984
0.044449999999999996,798.7754928261768,29.99821648870294,78.10711279417866,7.810711279417878,31.264398902349047,25.84721577958821,808.0861311753928
0.04644,803.2866017666385,30.003478602935466,78.64164676948143,7.864164676948159,31.01521674534452,26.653158387843515,826.5803014741089
0.04843,802.881883242776,30.036834485249972,78.87935510949107,7.887935510949132,30.246121814057567,28.205129499204517,853.0008231090098
0.050420000000000006,799.4121814216292,30.033479160768685,79.3300772272326,7.933007722723284,29.24723378340068,29.338026592783077,857.9767240538254
0.05241,803.8252403125542,30.037828529008134,79.91266299754602,7.991266299754628,28.552967637532902,30.05623194739472,858.176566207205
0.0544,806.5344260286084,30.012971161729713,80.55513335262842,8.055513335262866,27.994046388238754,30.42417989377353,851.6672305551524
0.05639,802.1384250067691,30.017390098872387,81.33490218030134,8.133490218030158,27.87556357031597,30.30716649059455,844.69156623144
0.05838,800.4607255593353,30.030051685245297,82.57270301581592,8.257270301581615,29.491243208370452,29.14665458732391,859.4918985371595
0.06036999999999999,800.7467786384611,29.99130739943852,83.58917696073746,8.358917696073767,30.21618585060869,28.202418168777,852.1186936853812
0.06236,803.1009928573625,30.001033754071564,83.92520120406769,8.392520120406788,30.157548877318767,28.380066587272395,855.8390774612817
0.06435,803.5217488409234,30.021315786958475,84.05922414505179,8.405922414505193,29.704364625052794,29.018339431725142,861.941136680379
0.06634,803.2532225944549,30.00626857033492,84.27724830302763,8.427724830302777,29.318948894404734,29.438623151107606,863.095978420404
0.06833,802.7078650693591,30.014749165128272,84.53957144628285,8.453957144628307,29.018821003486014,29.68467862657509,861.4058830953302
0.07032,804.6978253445241,30.019013864887935,84.81722568871645,8.481722568871668,28.93767590328651,29.826078225148578,863.0936028339108
0.07231,802.9925994703985,30.014037860456206,85.2123585196783,8.521235851967853,29.022850028766186,29.673463728194754,861.1294824567165
0.0743,801.8301084756258,30.012177288636877,85.9430058161356,8.594300581613586,29.91547263716978,28.684466905629687,858.065055451318
0.07629,803.8567206042052,30.03328701087174,86.06918902235245,8.606918902235268,29.88802899902533,28.80039245210259,860.7721294651922
0.07828,803.195287670787,30.042914983780005,86.1184274218124,8.611842742181267,29.628867859011642,29.103283355504285,862.2901350004547
0.08027,805.6849368986976,30.01793238611234,86.20847703272958,8.620847703272984,29.521359676416576,29.32013240474257,865.5638142148478
0.08226,803.8493577860787,30.0262970732678,86.32443576876274,8.6324435768763,29.328604308583778,29.447513328569393,863.6506888983064
0.08425,801.2443569474839,30.02422719283749,86.44834336062426,8.644834336062447,29.169855227632404,29.503726724314106,860.6152105775583
0.08624000000000001,806.8027177289391,30.0258155422581,86.56945394644012,8.656945394644028,29.35483046857805,29.532611070985524,866.9216996451355
0.08823,803.288932060566,30.037993759631377,86.69029559047716,8.669029559047734,29.192903466725323,29.556469128756646,862.8344699991253
