Irradiance,Temperature,VPV,IPV,Vbus,IBoost,PPV
707.53342790922,72.6447984268905,3.02861992214462,28.8993557933325,0.0137511544751792,0.000343778861879479,87.5251646928323
148.23062779927,72.8343964034755,0.89895878972792,5.92678666384555,0.0333702960251888,0.000834257400629716,5.32793696630617
663.753047971796,52.4385101249852,3.14400124073323,26.8130709568127,0.0590293371395229,0.00147573342848807,84.3003283560873
513.281595538863,63.6720379801246,2.76221583169653,20.7431974840413,0.101594912860022,0.00253987282150053,57.2971884904265
1315.67938794515,74.1222133799819,6.40847987028238,53.7023036796942,0.173885411051181,0.00434713527627951,344.150132119112
330.022611968696,74.2648195440154,2.64723189952085,12.9850722720407,0.262363805980304,0.00655909514950758,34.3744975361298
745.080844989221,62.134391218071,4.56711937424377,30.2177533107003,0.355446980789432,0.00888617451973577,138.008086591418
742.948580765219,53.5471584656804,4.80452167426293,29.8460092802981,0.47274681976891,0.0118186704942227,143.395798477445
575.171130356738,72.8933881297267,4.389083990072,23.2978695412423,0.604285494913376,0.0151071373728344,102.256306206253
881.806897960096,73.9873106598226,5.91598998222258,35.9079277853315,0.756748140165034,0.0189187035041258,212.430941060393
734.299426721616,50.8927919643547,5.55275141283621,29.3538631856051,0.932177901434906,0.0233044475358726,162.99470527607
743.447730265768,73.3498311939388,5.89542334084457,30.1565267339105,1.12497682455422,0.0281244206138555,177.785491585899
697.778754062358,68.9435032644583,5.95529764899067,28.2077512528216,1.33652926466443,0.0334132316166108,167.985554719242
745.377026676648,59.8056754883542,6.38798383674607,30.0147699350129,1.56709796172686,0.0391774490431715,191.733865208515
658.774293419332,54.279667195289,6.26686898426364,26.3896705006297,1.81539815862713,0.0453849539656781,165.380607565333
777.679126351528,50.7958211594355,6.99072481513015,31.1773900634831,2.08254108799521,0.0520635271998802,217.952554387783
386.225908366394,51.1542847657788,5.59446254833112,15.305350396333,2.36058339034859,0.0590145847587147,85.62520958137
100,70.5864457081823,4.52242504241163,3.97263837525785,2.63526902563826,0.0658817256409564,17.9659592727115
665.03810789124,57.9274870015215,6.93459270789135,26.9297808022632,2.92269424477625,0.0730673561194062,186.747061576487
874.059708019046,50.8611520125727,8.00940484482603,35.0459337186902,3.23783201945697,0.0809458004864243,280.69707131793
579.551510782902,59.5389614273252,7.06194173722114,23.1332983440758,3.56664363554085,0.0891660908885212,163.366005095618
663.8413478331,69.8799975284266,7.63913907665179,26.8654798414677,3.90457259624368,0.0976143149060919,205.229136869957
427.024016535109,62.2441098947058,6.83561917988769,17.0829564151643,4.24980691276112,0.106245172819028,116.772584520682
567.024196158192,66.1578252527816,7.57675020287811,22.935098029054,4.60100055658761,0.11502501391469,173.773508644664
818.653133807897,68.867167049559,8.83043551928054,33.1524453804669,4.96888372156539,0.124222093039135,292.750531238683
427.269435602257,66.9925669213419,7.42071686842944,17.0207258555077,5.34307551510849,0.133576887877712,126.305987468879
720.140863803766,54.0652933798658,8.79876989077473,28.9660323908628,5.72202909449237,0.143050727362309,254.865453655929
377.299851702647,62.4591012995536,7.57639702490154,15.0007981084278,6.10488968182238,0.152622242045559,113.652002159841
906.52606165695,58.5096431666533,9.94781033784609,36.6082680496448,6.49623070370509,0.162405767592627,364.172107354897
674.275762552012,55.5952984872784,9.23548322127866,26.81818267205,6.8999942256936,0.17249985564234,247.678876092904
823.471227762893,56.3773778864817,10.1057476278275,33.0261261295289,7.30885782428063,0.182721445607016,333.753695789819
606.511492832995,67.4769180664171,9.46806050183346,24.2748199495429,7.7215871609628,0.19303967902407,229.835463953386
820.122043576173,73.9822856301361,10.6024910917594,33.2327171009495,8.13829855430508,0.203457463857627,352.349587017777
617.186226635085,53.465611070717,9.9694818207149,24.5023027846963,8.5581379033413,0.213953447583532,244.275262177682
451.539632548029,56.4377063530934,9.48505772420332,17.9748941763456,8.97023917330129,0.224255979332532,170.492908849084
1070.09144480041,56.3570544742883,12.2568975407965,43.1180822180462,9.39092049218854,0.234773012304713,528.493915902231
749.615356740797,56.0881242181247,11.224386397733,29.6609814165027,9.82025789647801,0.24550644741195,332.926316354806
777.722085084144,58.7495941496202,11.6251003099789,31.104208147128,10.2456805446301,0.256142013615754,361.589539772825
319.546206132248,56.2770964494008,9.93832334762057,12.4785689954482,10.6595409154385,0.266488522885962,124.016053592357
697.638781971988,61.8322212225682,11.6717311553836,28.1782144106062,11.0649939306,0.276624848265,328.888543039352
560.789302438533,70.7707156974073,11.3135358415226,22.4724896169909,11.4684596834123,0.286711492085307,254.243316730069
658.316874796836,63.7430902072785,11.9163815357205,26.4461268009362,11.8643891614769,0.296609729036923,315.142137102001
917.539817994812,57.1459754705093,13.2237236524883,36.7744671421252,12.2618064633028,0.306545161582571,486.295390954975
739.324883169921,68.8432273569624,12.7876576370823,29.5156214081827,12.6570338046248,0.316425845115621,377.435661513578
551.25697192441,64.1955410181305,12.250189337687,21.9371783541907,13.0389138002201,0.325972845005503,268.734588373444
366.83121370359,51.3487529666652,11.6551332931696,14.4795358788186,13.4023483836371,0.335058709590927,168.760920690863
620.974943203299,69.4791807525503,12.8865075144173,25.1147437799795,13.7539007462225,0.343847518655562,323.641334443369
1117.09825052325,53.2476552118433,15.1636580811289,44.7566302177611,14.1112834835806,0.352782087089516,678.674237485652
637.466204915788,61.7347660264551,13.5020809284007,25.0102603748585,14.4634644306231,0.361586610765576,337.690559621714
213.395416429803,58.428066109972,11.9642589477781,8.22249367587815,14.7867482641383,0.369668706603456,98.3760435346741
